year_month,infrastructure_attacks,Energy,Medical/Edu,Water,Battle Counts,Remote Attack,Deaths,Total Events,battlefield_events,t,infra_spike
2021-12,0.0,0.0,0.0,0.0,8.0,8.0,0.0,16.0,16.0,-1,0
2022-01,4.0,1.0,1.0,4.0,193.0,300.0,8.0,499.0,493.0,0,0
2022-02,98.0,23.0,24.0,76.0,493.0,1013.0,1009.0,1563.0,1506.0,1,1
2022-03,94.0,7.0,13.0,84.0,566.0,426.0,2228.0,1069.0,992.0,2,0
2022-04,75.0,9.0,11.0,66.0,436.0,629.0,2302.0,1137.0,1065.0,3,0
2022-05,97.0,1.0,6.0,95.0,818.0,930.0,4152.0,1831.0,1748.0,4,1
2022-06,76.0,7.0,3.0,66.0,606.0,993.0,2304.0,1667.0,1599.0,5,0
2022-07,76.0,8.0,2.0,68.0,407.0,1106.0,2367.0,1584.0,1513.0,6,0
2022-08,116.0,13.0,11.0,100.0,666.0,1424.0,3823.0,2203.0,2090.0,7,1
2022-09,143.0,24.0,7.0,121.0,592.0,1075.0,3627.0,1808.0,1667.0,8,1
2022-10,201.0,51.0,7.0,152.0,1132.0,933.0,6528.0,2247.0,2065.0,9,1
2022-11,128.0,12.0,7.0,119.0,784.0,732.0,3779.0,1637.0,1516.0,10,1
2022-12,96.0,8.0,6.0,90.0,729.0,751.0,3249.0,1578.0,1480.0,11,0
2023-01,101.0,0.0,5.0,99.0,837.0,894.0,2630.0,1830.0,1731.0,12,1
2023-02,73.0,6.0,3.0,70.0,958.0,799.0,2167.0,1829.0,1757.0,13,0
2023-03,65.0,6.0,7.0,57.0,1019.0,779.0,2514.0,1853.0,1798.0,14,0
2023-04,71.0,2.0,7.0,66.0,673.0,754.0,2644.0,1493.0,1427.0,15,0
2023-05,106.0,6.0,5.0,102.0,714.0,1367.0,3888.0,2178.0,2081.0,16,1
2023-06,54.0,0.0,3.0,52.0,1054.0,925.0,3144.0,2031.0,1979.0,17,0
2023-07,59.0,1.0,4.0,56.0,1306.0,1309.0,3866.0,2675.0,2615.0,18,0
2023-08,53.0,3.0,2.0,51.0,739.0,1010.0,3569.0,1797.0,1749.0,19,0
2023-09,53.0,1.0,3.0,50.0,645.0,1193.0,2593.0,1889.0,1838.0,20,0
2023-10,73.0,3.0,4.0,69.0,1172.0,1174.0,4443.0,2410.0,2346.0,21,0
2023-11,73.0,3.0,5.0,70.0,944.0,880.0,3259.0,1892.0,1824.0,22,0
2023-12,61.0,2.0,2.0,59.0,898.0,620.0,2904.0,1573.0,1518.0,23,0
2024-01,64.0,12.0,14.0,60.0,1127.0,659.0,3818.0,1846.0,1786.0,24,0
2024-02,45.0,3.0,5.0,43.0,864.0,638.0,3708.0,1547.0,1502.0,25,0
2024-03,45.0,8.0,5.0,40.0,835.0,294.0,3934.0,1174.0,1129.0,26,0
2024-04,47.0,7.0,6.0,42.0,1266.0,370.0,3758.0,1682.0,1636.0,27,0
2024-05,53.0,6.0,4.0,50.0,1392.0,305.0,8387.0,1744.0,1697.0,28,0
2024-06,54.0,4.0,9.0,48.0,1340.0,425.0,8245.0,1804.0,1765.0,29,0
2024-07,79.0,6.0,6.0,76.0,1779.0,558.0,6244.0,2384.0,2337.0,30,0
2024-08,113.0,21.0,10.0,101.0,1424.0,534.0,4588.0,2026.0,1958.0,31,1
2024-09,64.0,4.0,9.0,60.0,1934.0,871.0,6276.0,2838.0,2805.0,32,0
2024-10,76.0,11.0,5.0,69.0,1728.0,709.0,6302.0,2490.0,2437.0,33,0
2024-11,81.0,32.0,10.0,68.0,1702.0,649.0,7920.0,2414.0,2351.0,34,0
2024-12,55.0,8.0,4.0,51.0,2290.0,613.0,9390.0,2955.0,2903.0,35,0
2025-01,51.0,10.0,8.0,47.0,1797.0,558.0,6322.0,2405.0,2355.0,36,0
2025-02,56.0,19.0,4.0,50.0,1316.0,576.0,5195.0,1946.0,1892.0,37,0